,address,coordinates
74,"2000 Meade Pkwy, Suffolk, VA 23434, USA","36.76054906,-76.5945602"
75,"1060 W 10th St, Rolla, MO 65401, USA","37.95248953,-91.78598299"
76,"16111 Plummer St, North Hills, CA 91343, USA","34.24438639,-118.4820418"
77,"1101 Grace St, Wichita Falls, TX 76301, USA","33.90275832,-98.49939511"
78,"613 Victoria Ln, Harlingen, TX 78550, USA","26.16357422,-97.67216229"
79,"10810 Parkside Dr, Knoxville, TN 37934, USA","35.89835972,-84.14390827"
80,"2600 TX-118, Alpine, TX 79830, USA","30.38394439,-103.6704807"
81,"1801 W Alcott Ave, Fergus Falls, MN 56537, USA","46.2752393,-96.1057157"
82,"100 Medical Plaza, Lake St Louis, MO 63367, USA","38.802534,-90.775864"
83,"425 Robinson St, Binghamton, NY 13904, USA","42.105825,-75.86826849"
84,"1676 Sunset Ave, Utica, NY 13502, USA","43.09100972,-75.25811713"
85,"1625 Medical Center St, El Paso, TX 79902, USA","31.77749243,-106.4808675"
86,"801 Braxton Place, Madison, WI 53715, USA","43.06593344,-89.39938339"
87,"2700 E Broad St, Mansfield, TX 76063, USA","32.56798994,-97.09444484"
88,"19002 McKay Dr, Humble, TX 77338, USA","29.99373522,-95.2773293"
89,"300 Singleton Ridge Rd, Conway, SC 29526, USA","33.78552184,-79.00182781"
90,"2300 Ramsey St, Fayetteville, NC 28301, USA","35.08782262,-78.87695584"
91,"4710 Spotsylvania Ave, Fredericksburg, VA 22408, USA","38.21751607,-77.49595136"
92,"624 E Elder St, Fallbrook, CA 92028, USA","33.38081195,-117.2445588"
93,"815 Market St, Galveston, TX 77550, USA","29.3094949,-94.77699095"
94,"2600 6th St SW, Canton, OH 44710, USA","40.79731915,-81.40306222"
95,"6051 US 49, Hattiesburg, MS 39401, USA","31.31857979,-89.32959247"
96,"2312 S 6th St, Minneapolis, MN 55454, USA","44.96773393,-93.23807517"
97,"860 Kempsville Rd, Norfolk, VA 23502, USA","36.85308888,-76.18945815"
98,"115 Cass Ave, Woonsocket, RI 02895, USA","42.0046119,-71.49580333"
99,"1600 Antelope Dr, Layton, UT 84041, USA","41.09104516,-111.9956731"
